kb,title,file_list_uri
KB5022838,"2023 02 CU 2016 x64",https://download.microsoft.com/download/8/f/1/8f184167-f630-46f5-9c95-e077864fb741/5022838.csv
KB5022503,"2023-02 CU .NET 4.8",https://download.microsoft.com/download/d/4/a/d4ac845c-9d5d-46ba-bc70-a3e7bd5280dd/5022503.csv
KB5022289,"2023-01 CU 2016 x64",https://download.microsoft.com/download/0/3/5/03546f1e-9bb3-4122-91ad-c69e7011f759/5022289.csv
KB5021235,"2022-12 CU 2016 x64",https://download.microsoft.com/download/4/9/1/4913e61d-29f4-48fe-acbd-3bdfdb80d5b3/5021235.csv
KB5020873,"2022-12 CU .NET 4.8",https://download.microsoft.com/download/7/3/f/73f349be-923b-4d8e-ba66-6e93edbf3ec6/5020873.csv
KB5021654,"2022-11 CU 2016 x64",https://download.microsoft.com/download/7/b/2/7b232447-6d2d-4220-84dc-85bcc508faed/5021654.csv
KB5019964,"2022-11 CU 2016 x64",https://download.microsoft.com/download/1/1/8/1180a3ef-3847-4d7a-908f-f63f55ed6818/5019964.csv
KB5020614,"2022-11 CU .NET 4.8",https://download.microsoft.com/download/7/3/6/73685ffa-2f17-4805-a9b7-9de8cd64e169/5020614.csv
KB5020439,"2022-10 CU 2016 x64",https://download.microsoft.com/download/3/f/b/3fb32e9e-c9a5-4f5e-8b5f-41f70920d90c/5020439.csv
KB5018411,"2022-10 CU 2016 x64",https://download.microsoft.com/download/7/1/e/71e8be82-b84b-46b9-a317-fcdc4e0b1b2a/5018411.csv
KB5018515,"2022-10 CU .NET 4.8",https://download.microsoft.com/download/3/2/b/32b1043c-7279-49c3-85c3-e7c047ccfb3e/5018515.csv
